Disease,Protein
D267730,P10415
D267730,P01563
D267730,O96017
D267730,P02786
D267730,P14222
D267730,P41182
D267740,Q9H0V9
D267740,O00571
D267740,Q9HAN9
D267740,Q13418
D267740,Q9H9P8
D267740,O60741
D267740,P08913
D267740,P39905
D267740,P35913
D267740,P31749
D267740,Q9BY44
D267740,O00305
D267740,P54845
D267740,Q14442
D267740,P61764
D267740,P43005
D267740,P13500
D267740,P14136
D267740,P07203
D267740,P08172
D267740,P41143
D267740,O95259
D267740,Q92834
D267740,P78540
D267740,P15328
D267740,O95630
D267740,Q9NZV8
D267740,P21796
D267740,Q5T160
D267740,Q9BRB3
D267740,P23560
D267740,Q9BXJ0
D267740,P00367
D267740,P63261
D267740,P01137
D267740,Q8NCM2
D267740,P55316
D267740,P78381
D267740,P41091
D267740,P02768
D267740,Q05193
D267740,P22607
D267740,P08100
D267740,Q96DA2
D267740,Q05639
D267740,O75460
D267740,P00441
D267740,P11229
D267740,Q9Y5P4
D267740,Q00839
D267740,Q7Z6L0
D267740,Q00577
D267740,P61266
D267740,Q16881
D267740,Q16518
D267740,O76039
D267740,Q13303
D267740,Q6ZNB7
D267740,P45880
D267740,P18507
D267740,Q9UBL9
D267740,P63302
D267740,Q5JPH6
D267740,P60880
D267740,Q99571
D267740,O43186
D267740,Q9Y484
D267740,P43004
D267740,P49238
D267740,P51608
D267740,O43526
D267740,Q9Y289
D267740,P47870
D267740,Q96IS3
D267740,P35372
D267740,P01100
D267740,P49146
D267740,P53539
D267740,P01189
D267740,Q06413
D267740,Q14515
D267740,P09471
D267740,Q05086
D267740,P43003
D267740,Q9Y397
D267740,Q9P2H3
D267740,P10415
D267740,P01303
D267740,P30531
D267740,P28472
D267740,Q13627
D267740,Q96NR8
D268220,P23760
D268220,O15350
D268220,P23759
D268220,Q9GZV5
D268220,Q12778
D268320,Q86VQ0
D268320,P31939
D268320,Q16518
D270960,Q8IZU3
D273300,O95999
D273300,Q92560
D273300,O60760
D273300,P22607
D273300,Q15831
D273300,Q9Y5R6
D273300,O75354
D273300,P09917
D273300,Q6PCD5
D273300,Q9Y6D9
D273300,P10721
D273300,O75342
D273300,P07992
D273300,P21583
D273300,O94804
D273300,Q9GZV8
D273300,P01112
D273300,Q92889
D273300,P78337
D273300,Q92904
D273300,P15056
D273300,P08253
D273800,P05106
D275000,P16410
D275000,P42898
D275000,Q96P31
D275000,O00584
D275000,Q9Y2R2
D275000,Q9NY97
D275000,P16473
D275000,P02774
D276300,P40692
D276300,P31941
D276300,P40337
D276300,P11362
D276300,P49902
D276300,P54278
D276300,P42772
D276300,Q15831
D276300,Q6RFH5
D276300,P07384
D276300,P35354
D276300,O60218
D276300,P25490
D276300,P61278
D276300,P04179
D276300,P46527
D276300,P52926
D276300,P04040
D276300,P60568
D276300,P31749
D276300,P49959
D276300,Q6ZN17
D276300,Q99967
D276300,Q9NZQ7
D276300,P43220
D276300,Q01094
D276300,P29317
D276300,P30281
D276300,P11387
D276300,Q8IXB1
D276300,Q13421
D276300,P60484
D276300,P35222
D276300,P10721
D276300,P24385
D276300,Q9UH17
D276300,Q16625
D276300,P04637
D276300,Q8IWE4
D276300,P43246
D276300,P30279
D276300,P78417
D276300,Q16206
D276300,Q5SXH7
D276300,P27986
D276300,Q92560
D276300,P15559
D276300,Q00987
D276300,P22352
D276300,Q9HC73
D276300,Q13948
D276300,P07992
D276300,P30711
D276300,Q00613
D276300,Q07869
D276300,Q14116
D276300,P02788
D276300,P22309
D276300,P42773
D276300,P11413
D276300,Q13309
D276300,P18440
D276300,P51580
D276300,P15056
D276300,P07333
D276300,Q02750
D276300,P01106
D276300,P35869
D276300,P80188
D276300,Q92911
D276300,O00220
D276300,P15336
D276300,Q03405
D276300,Q9Y2T6
D276300,P41134
D276300,P15172
D276300,P31751
D276300,Q15022
D276300,P24864
D276300,P11802
D276300,Q00534
D276300,P15692
D276300,Q9H9Z2
D276300,P03372
D276300,P11473
D276300,Q8N726
D276300,P01112
D276300,P30101
D276300,Q96RE7
D276300,P11831
D276300,P01116
D276300,P38936
D276300,P01111
D276300,Q8NER1
D276300,P29320
D276300,O14965
D276300,P01584
D277350,P22735
D277350,P09874
D277350,P02753
D277350,P12644
D277350,O95237
D277440,P51795
D277440,P78562
D277440,P11473
D277460,P49638
D277460,P02647
D277730,P00325
D277730,P05091
D278200,P46778
D278200,Q3SY84
D278200,Q8WWY8
D278200,Q96A33
D278200,P62304
D278200,P43657
D278200,P01112
D278200,Q7RTS7
D278200,Q7Z3Z0
D300100,P33897
D300100,Q92968
D300100,P09601
D300100,P04179
D300100,P01579
D300100,Q7Z412
D300125,P03372
D300125,Q9UN88
D300125,P28223
D300125,P06881
D300125,P50993
D300125,P37173
D300125,Q5TD97
D300125,Q9HAC7
D300232,Q8N3H0
D300232,O00499
D300232,Q92692
D300232,P05067
D300232,Q13492
D300232,P10909
D300425,Q9NZ94
D300491,Q9H0V9
D300491,O00206
D300491,O00571
D300491,Q13418
D300491,Q9H9P8
D300491,P08247
D300491,O60741
D300491,Q13519
D300491,P08913
D300491,P20396
D300491,P31749
D300491,Q9BY44
D300491,P22303
D300491,O00305
D300491,Q14442
D300491,P61764
D300491,P43005
D300491,Q9UEF7
D300491,P07203
D300491,P14136
D300491,P07101
D300491,Q99720
D300491,P08172
D300491,P41143
D300491,O95259
D300491,P15328
D300491,O95630
D300491,P21796
D300491,Q9NZV8
D300491,Q5T160
D300491,Q9BRB3
D300491,P23560
D300491,P10636
D300491,P00367
D300491,Q9P2U8
D300491,O60260
D300491,P63261
D300491,P01137
D300491,P05067
D300491,Q9P2U7
D300491,P42261
D300491,Q8NCM2
D300491,P55316
D300491,P78381
D300491,P41091
D300491,P02768
D300491,P49768
D300491,Q05193
D300491,P22607
D300491,Q96DA2
D300491,O75460
D300491,Q05639
D300491,P34969
D300491,P11229
D300491,Q9Y5P4
D300491,Q00839
D300491,Q7Z6L0
D300491,Q00577
D300491,P61266
D300491,Q16881
D300491,O76039
D300491,Q7Z624
D300491,Q13303
D300491,Q6ZNB7
D300491,P45880
D300491,P18507
D300491,Q9UBL9
D300491,P17600
D300491,P63302
D300491,P16435
D300491,Q5JPH6
D300491,P08908
D300491,P60880
D300491,P18510
D300491,Q99571
D300491,P09601
D300491,Q9Y484
D300491,P43004
D300491,P51608
D300491,O43526
D300491,P47870
D300491,Q9Y289
D300491,Q01064
D300491,P35372
D300491,P05090
D300491,P01100
D300491,P49146
D300491,P53539
D300491,Q9BPX6
D300491,P01189
D300491,P15692
D300491,Q06413
D300491,Q14515
D300491,P09471
D300491,Q05086
D300491,P43003
D300491,Q9Y397
D300491,P10415
D300491,P01303
D300491,P30531
D300491,P28472
D300491,Q13627
D300491,P01584
D300494,P01282
D300494,P31645
D300494,Q9NRI5
D300494,Q9NZ94
D300495,Q8N0W4
D303110,P83111
D303110,P06276
D303110,O75891
D303110,Q15466
D303110,O75712
D303110,Q16678
D303110,P07550
D303110,P01130
D303110,P33121
D303110,Q0ZLH3
D303110,Q86SQ7
D303110,P24723
D303110,Q9UPR6
D303110,P35354
D303110,P00167
D303110,P05362
D303110,Q3SYG4
D303110,P09874
D303110,Q9NRR6
D303110,P04179
D303110,P29120
D303110,Q9BY76
D303110,Q02577
D303110,P31749
D303110,Q16568
D303110,P18428
D303110,P02792
D303110,Q8N3I7
D303110,Q6VAB6
D303110,P01308
D303110,Q9UG56
D303110,P13686
D303110,P06858
D303110,P22303
D303110,P01344
D303110,Q96B42
D303110,O00253
D303110,P55851
D303110,P98155
D303110,P42330
D303110,P13500
D303110,Q9NTG7
D303110,P07203
D303110,P11310
D303110,Q9UBU3
D303110,Q16619
D303110,O75469
D303110,O00519
D303110,Q16620
D303110,Q9NSA1
D303110,Q96FI4
D303110,O60240
D303110,Q8IWZ6
D303110,Q5TD94
D303110,P00734
D303110,P28845
D303110,O15244
D303110,O60543
D303110,Q06210
D303110,Q9P2R7
D303110,P21673
D303110,Q9H0A9
D303110,Q9Y6C9
D303110,P02787
D303110,P23560
D303110,P08588
D303110,P28223
D303110,P24386
D303110,Q96EB6
D303110,Q5SGD2
D303110,P00325
D303110,P34810
D303110,P05121
D303110,Q9NRF2
D303110,P29033
D303110,P20382
D303110,O75192
D303110,O95398
D303110,Q96G30
D303110,Q16836
D303110,Q9NXB0
D303110,O15156
D303110,Q02252
D303110,O60669
D303110,P37231
D303110,P11021
D303110,P23141
D303110,P22413
D303110,P58743
D303110,P49715
D303110,P15559
D303110,P26583
D303110,O75751
D303110,Q16134
D303110,Q6VY07
D303110,P07451
D303110,P54819
D303110,P25942
D303110,P22352
D303110,P00441
D303110,Q8N394
D303110,B1AK53
D303110,P16870
D303110,P01375
D303110,P56704
D303110,Q8TDQ7
D303110,P14902
D303110,Q9UNH5
D303110,O75030
D303110,Q07869
D303110,Q8TAM1
D303110,Q14994
D303110,P10082
D303110,P52789
D303110,Q9NR63
D303110,P14780
D303110,Q96C11
D303110,O95500
D303110,Q8J025
D303110,Q13485
D303110,Q8IWS0
D303110,O75390
D303110,Q9NPJ1
D303110,Q6ZW61
D303110,Q9C0B1
D303110,Q7Z3B1
D303110,P23760
D303110,O43524
D303110,P10644
D303110,P41159
D303110,Q96RK4
D303110,O75015
D303110,O15245
D303110,P30084
D303110,P02786
D303110,Q92667
D303110,O75056
D303110,P99999
D303110,P35638
D303110,P15104
D303110,P09601
D303110,P09067
D303110,P01275
D303110,P21554
D303110,Q8NFJ9
D303110,P35869
D303110,Q15761
D303110,P01241
D303110,Q5TC12
D303110,Q16875
D303110,O60861
D303110,Q14929
D303110,P28335
D303110,P25774
D303110,Q12951
D303110,P48163
D303110,P05231
D303110,P31323
D303110,O14520
D303110,Q96I99
D303110,P02741
D303110,Q14651
D303110,O75354
D303110,P18065
D303110,P02649
D303110,P16520
D303110,Q96IY4
D303110,P08842
D303110,P35558
D303110,Q9UL25
D303110,P32245
D303110,Q96JX3
D303110,P05181
D303110,P55916
D303110,P01189
D303110,Q15848
D303110,Q7Z4W1
D303110,P20333
D303110,Q03181
D303110,P03372
D303110,P25874
D303110,P98172
D303110,Q9BXC9
D303110,P22033
D303110,Q9H0F7
D303110,P15954
D303110,P22695
D303110,P43490
D303110,P29466
D303110,Q96SI1
D303110,P81133
D303110,O15527
D303110,P18031
D303110,Q8NER1
D303110,P13945
D303110,Q8TAM2
D303110,P25929
D304790,P16410
D304790,Q9BZS1
D304790,P30405
D304790,Q5FBB7
D304790,P35638
D304790,Q9BWT1
D304900,P01185
D307700,O75603
D308205,P18850
D308205,O43462
D308350,Q9BRB3
D308350,Q05193
D308350,Q96QS3
D308350,Q13555
D308350,P09471
D308350,O60741
D308350,Q9H936
D308350,P57059
D310468,O00206
D310468,P02649
D310468,Q9BXR6
D310468,P06280
D310468,P31785
D310468,Q07973
D310468,P48735
D310468,P01579
D310468,P01019
D310468,P51795
D310468,P08473
D310468,Q9Y210
D310468,O60663
D310468,P05305
D310468,Q9NPH5
D310468,P01308
D310468,P01563
D310468,P01588
D310468,P37231
D310468,P13498
D311360,P19544
D311360,O95972
D311360,Q9P2W1
D311360,P33261
D311360,O43895
D311360,Q6QHK4
D311360,Q5JUK2
D311360,Q9NX45
D311360,Q13285
D311360,Q8WVV4
D311360,P60323
D311360,Q9NRA8
D311360,O60383
D311360,Q9UJA3
D311360,Q13253
D311360,Q16236
D311360,Q06787
D311360,O60393
D311360,Q01860
D312910,P58743
D312910,O75712
D312910,Q12951
D312910,Q5TD94
D312910,Q14651
D312910,P54819
D312910,Q0ZLH3
D312910,Q8N394
D312910,B1AK53
D312910,Q9H0A9
D312910,Q96JX3
D312910,Q9UNH5
D312910,O75030
D312910,P23560
D312910,Q99447
D312910,Q5TBB1
D312910,O95500
D312910,Q9UG56
D312910,Q13485
D312910,P29033
D312910,P23760
D312910,P33897
D540000,Q9UKV0
D540000,P49773
D540000,O00429
D540000,P00750
D540000,Q13639
D540000,P35354
D540000,P05362
D540000,P49682
D540000,P04179
D540000,P00395
D540000,P11217
D540000,P16442
D540000,Q8WYQ9
D540000,P01308
D540000,Q6QHF9
D540000,P55851
D540000,P05089
D540000,Q9NWM0
D540000,O15119
D540000,O95264
D540000,P00156
D540000,P01034
D540000,P00734
D540000,Q13093
D540000,Q06210
D540000,Q93097
D540000,P23109
D540000,P54646
D540000,Q9UQQ2
D540000,O60636
D540000,P03886
D540000,Q9Y2L9
D540000,P23786
D540000,P01137
D540000,P05067
D540000,P39900
D540000,Q7LG56
D540000,O14649
D540000,P07858
D540000,P02768
D540000,P01583
D540000,P04035
D540000,P09919
D540000,P34969
D540000,P00441
D540000,P06280
D540000,P01375
D540000,Q9BQB6
D540000,P05106
D540000,A4D126
D540000,Q07869
D540000,P48788
D540000,P42898
D540000,P05413
D540000,Q13485
D540000,Q13702
D540000,P02647
D540000,P00403
D540000,P10914
D540000,P49802
D540000,P03915
D540000,Q9Y6L6
D540000,P18510
D540000,P52952
D540000,P00749
D540000,P03905
D540000,P02671
D540000,P25101
D540000,Q12948
D540000,P05231
D540000,Q99697
D540000,P08559
D540000,Q9NVI7
D540000,P03923
D540000,P21397
D540000,Q00534
D540000,Q12947
D540000,Q9BPX6
D540000,Q8WU10
D540000,P00414
D540000,Q9Y287
D540000,P05305
D540000,P01584
D556500,Q96HJ9
D600081,Q6VVX0
D600082,P01236
D600082,P21781
D600082,P31213
D600082,P07288
D600116,Q9BXM7
D600116,P01213
D600116,Q05940
D600116,P37840
D600116,P14416
D600116,P01138
D600116,Q05655
D600116,O43464
D600116,P09874
D600116,Q13519
D600116,P04062
D600116,P39905
D600116,O75569
D600116,P10636
D600116,Q99497
D600116,P00352
D600116,P20711
D600116,O94788
D600116,O60260
D600116,P01236
D600116,P13637
D600116,Q6XR72
D600116,P00390
D600116,P07101
D600131,Q9H0V9
D600131,O00571
D600131,Q13418
D600131,Q9H9P8
D600131,O60741
D600131,P08913
D600131,P31749
D600131,Q9BY44
D600131,O00305
D600131,Q14442
D600131,P61764
D600131,P43005
D600131,P14136
D600131,P07203
D600131,P08172
D600131,P41143
D600131,O95259
D600131,P15328
D600131,O95630
D600131,Q9NZV8
D600131,P21796
D600131,Q5T160
D600131,Q9BRB3
D600131,P23560
D600131,P00367
D600131,P63261
D600131,P01137
D600131,Q8NCM2
D600131,P55316
D600131,P78381
D600131,P41091
D600131,P02768
D600131,Q05193
D600131,P22607
D600131,Q96DA2
D600131,Q05639
D600131,O75460
D600131,P11229
D600131,Q9Y5P4
D600131,Q00839
D600131,Q7Z6L0
D600131,Q00577
D600131,P61266
D600131,Q16881
D600131,O76039
D600131,Q13303
D600131,Q6ZNB7
D600131,P45880
D600131,P14867
D600131,P18507
D600131,Q9UBL9
D600131,P63302
D600131,Q5JPH6
D600131,P11166
D600131,P60880
D600131,Q99571
D600131,Q9Y484
D600131,P43004
D600131,O75564
D600131,P51608
D600131,O43526
D600131,Q9Y289
D600131,P47870
D600131,P35372
D600131,P01100
D600131,P49146
D600131,P53539
D600131,P01189
D600131,Q06413
D600131,Q14515
D600131,P09471
D600131,Q05086
D600131,P43003
D600131,Q9Y397
D600131,P01303
D600131,P30531
D600131,P28472
D600131,Q13627
D600351,P48764
D600351,P52564
D600351,Q5FBB7
D600351,P05231
D600351,P35354
D600351,P42226
D600351,P30405
D600351,P20809
D600351,P01375
D600351,P01189
D600351,P20366
D600351,P04040
D600351,P10145
D600351,P12272
D600351,P01042
D600351,Q14790
D600351,P01308
D600351,Q9BXJ7
D600351,P42574
D600351,P02647
D600351,Q9UBY0
D600351,P16410
D600351,P01178
D600351,P55211
D600351,P06881
D600351,P01282
D600351,P35638
D600351,P00390
D600351,P19634
D600351,Q9BWT1
D600496,P35680
D600496,P35557
D600496,Q14654
D600496,P20823
D600496,P01308
D600496,P41235
D600496,P52945
D600496,Q9UKG1
D600496,P51451
D600496,O14901
D600496,Q13562
D600634,P01236
D600634,O00170
D600634,P49716
D600634,P12644
D600634,O00255
D600807,P08887
D600807,Q8N138
D600807,P08571
D600807,P01920
D600807,Q9UI47
D600807,P09211
D600807,Q8NI36
D600807,P15559
D600807,Q8TAX9
D600807,P05231
D600807,P07550
D600807,P41586
D600807,P05112
D600807,P00441
D600807,P01911
D600807,P09917
D600807,Q13093
D600807,P17693
D600807,P15514
D600807,Q9UKT9
D600807,Q6ZTQ4
D600807,P05362
D600807,Q07343
D600807,P78540
D600807,P35225
D600807,P09238
D600807,P60484
D600807,P12724
D600807,P09874
D600807,P01375
D600807,Q6K0P9
D600807,Q08499
D600807,P51671
D600807,Q6W5P4
D600807,P04040
D600807,P10242
D600807,P35325
D600807,P15692
D600807,Q9Y5Y4
D600807,Q01638
D600807,Q9UL17
D600807,O95760
D600807,Q969D9
D600807,P14780
D600807,P08727
D600807,Q9Y496
D600807,Q8IZI9
D600807,P04440
D600807,P05091
D600807,P02818
D600807,P10415
D600807,P01303
D600807,P09488
D600807,P03956
D600807,P80365
D600807,P67775
D600807,P05089
D600807,P18510
D600807,P01909
D600807,P50135
D600807,P01137
D600807,P13501
D600807,O95715
D600807,P00749
D600807,Q15025
D600807,Q96PL1
D600807,P09601
D600807,Q8TAX7
D600807,P13500
D600807,P05305
D600807,P35625
D600807,P01584
D600807,P05113
D601042,Q13144
D601042,P21554
D601042,O94805
D601042,P11166
D601042,O60828
D601042,Q9UBP0
D601367,P25101
D601367,Q9UKV0
D601367,Q12948
D601367,P05231
D601367,Q99697
D601367,P01034
D601367,P69905
D601367,P00750
D601367,P24723
D601367,P00441
D601367,P00734
D601367,Q13093
D601367,Q13639
D601367,P06280
D601367,P35354
D601367,P05362
D601367,Q93097
D601367,P49682
D601367,P01375
D601367,Q00534
D601367,Q9BQB6
D601367,Q12947
D601367,P05106
D601367,P54646
D601367,P42898
D601367,P16442
D601367,P11473
D601367,Q9UQQ2
D601367,O60636
D601367,Q8WYQ9
D601367,P00325
D601367,Q9Y2L9
D601367,Q6QHF9
D601367,P02647
D601367,P01303
D601367,Q9Y287
D601367,P10914
D601367,P49802
D601367,P20292
D601367,P55851
D601367,Q9NWM0
D601367,O15119
D601367,P18510
D601367,P01137
D601367,P05067
D601367,P52952
D601367,P39900
D601367,P00749
D601367,O14649
D601367,P02671
D601367,P05305
D601367,P01584
D601367,P02768
D601518,P10275
D601518,P18847
D601518,P07099
D601518,Q16678
D601518,P07550
D601518,Q8ND30
D601518,P35354
D601518,Q08629
D601518,O43175
D601518,O95994
D601518,Q9HCN8
D601518,O75131
D601518,P04179
D601518,Q9NQB0
D601518,P30825
D601518,P50539
D601518,Q13113
D601518,P54852
D601518,Q05516
D601518,Q9HC78
D601518,P01308
D601518,P30550
D601518,Q70IA6
D601518,P06858
D601518,P22303
D601518,Q99801
D601518,Q96RR4
D601518,P14625
D601518,Q86WH2
D601518,Q01081
D601518,O15119
D601518,O95460
D601518,P30040
D601518,P37173
D601518,Q14749
D601518,P30050
D601518,P41162
D601518,Q8NEC7
D601518,P01210
D601518,Q8TC71
D601518,Q9UP79
D601518,P54277
D601518,P08118
D601518,P54727
D601518,P04818
D601518,P69891
D601518,Q05823
D601518,Q9UBC3
D601518,P33261
D601518,P78540
D601518,P60484
D601518,P35222
D601518,Q9BV57
D601518,Q08499
D601518,P24385
D601518,P49908
D601518,P57054
D601518,P24522
D601518,P50281
D601518,Q96EB6
D601518,Q9NRG9
D601518,Q9HB55
D601518,Q96NT3
D601518,Q05513
D601518,P48061
D601518,P18887
D601518,P26439
D601518,Q04609
D601518,P19793
D601518,Q9H6V9
D601518,Q9HAC7
D601518,Q13530
D601518,Q13126
D601518,O75629
D601518,Q9BTA9
D601518,Q6NW40
D601518,P26583
D601518,Q16270
D601518,P09917
D601518,P15884
D601518,Q02535
D601518,P56545
D601518,P50591
D601518,P04150
D601518,P58005
D601518,Q96GV9
D601518,P30711
D601518,P08473
D601518,Q13443
D601518,P04632
D601518,O75364
D601518,P21964
D601518,P02818
D601518,Q9UKW4
D601518,Q99612
D601518,P06881
D601518,P48595
D601518,P54802
D601518,P18075
D601518,P21757
D601518,P50549
D601518,P15056
D601518,P01106
D601518,P35869
D601518,O95409
D601518,P55327
D601518,Q86Y22
D601518,Q9NVI7
D601518,Q13641
D601518,P15428
D601518,Q9Y365
D601518,P01135
D601518,P40189
D601518,Q53FZ2
D601518,P61769
D601518,P69892
D601518,Q9UHK6
D601518,P78423
D601518,P31213
D601518,O95948
D601518,P10145
D601518,Q9NR28
D601518,Q12979
D601518,Q9Y6Y0
D601518,P55318
D601518,Q5VYX0
D601518,P63218
D601518,Q15417
D601518,Q58WW2
D601518,P54849
D601518,P30101
D601518,O75874
D601518,Q99784
D601518,O43653
D601518,P38936
D601518,P01116
D601518,Q16385
D601518,P11509
D601518,O14633
D601518,Q01196
D601518,Q5T2W1
D601518,P02795
D601518,Q9BWT1
D601518,Q6NYC1
D601518,Q14849
D601518,Q13217
D601518,Q9UJA9
D601518,P55317
D601518,P05362
D601518,O95471
D601518,O60602
D601518,Q9Y6D9
D601518,P20815
D601518,P31943
D601518,O15431
D601518,P13693
D601518,Q9Y337
D601518,P21266
D601518,O95072
D601518,P25311
D601518,P05019
D601518,Q12778
D601518,P19440
D601518,P15259
D601518,P55290
D601518,Q9HCG1
D601518,Q12983
D601518,P62913
D601518,P06400
D601518,P04844
D601518,Q7Z4H7
D601518,Q9UBQ7
D601518,Q9UIH9
D601518,P06340
D601518,P55072
D601518,P49841
D601518,O60934
D601518,P27635
D601518,O75674
D601518,Q92692
D601518,P00995
D601518,Q01844
D601518,Q9Y2S2
D601518,P04637
D601518,Q8TEY5
D601518,P21291
D601518,Q9BRU2
D601518,P49789
D601518,Q9Y696
D601518,O00264
D601518,P08263
D601518,P30279
D601518,P56945
D601518,Q96KN3
D601518,O43521
D601518,P12429
D601518,Q8N1B4
D601518,Q99988
D601518,P78417
D601518,P16152
D601518,P11245
D601518,P58753
D601518,P20645
D601518,Q9NWZ3
D601518,O00592
D601518,P36955
D601518,Q08426
D601518,O75751
D601518,Q92934
D601518,P83916
D601518,P62805
D601518,Q9NNW7
D601518,P17987
D601518,P49888
D601518,P30260
D601518,P52849
D601518,Q9P0J1
D601518,P62328
D601518,P05106
D601518,P27361
D601518,Q92874
D601518,Q9HBY0
D601518,Q14116
D601518,Q9NQC1
D601518,P12524
D601518,O43511
D601518,P10301
D601518,P55289
D601518,P43268
D601518,Q8NEU8
D601518,Q9UQ10
D601518,O60488
D601518,P80303
D601518,P43308
D601518,P51946
D601518,P05093
D601518,Q01718
D601518,Q03405
D601518,Q12948
D601518,Q8N5M4
D601518,P09086
D601518,Q86XS8
D601518,Q99732
D601518,O14681
D601518,P01160
D601518,P05181
D601518,Q8HWS3
D601518,P01037
D601518,P12830
D601518,Q9Y250
D601518,P03372
D601518,P08238
D601518,Q8IVH2
D601518,P48023
D601518,P08670
D601518,O96006
D601518,Q07812
D601518,Q9NY26
D601518,Q9H222
D601518,Q9BQ52
D601518,P01112
D601518,Q92826
D601518,Q99727
D601518,P24557
D601518,P24592
D601518,O15393
D601518,O14656
D601518,P09038
D601518,O00204
D601518,P26367
D601518,P17342
D601518,O00206
D601518,Q8TD31
D601518,Q5ZPR3
D601518,Q9NYT0
D601518,O15520
D601518,P05981
D601518,P46527
D601518,Q96IZ0
D601518,P31749
D601518,P16442
D601518,Q969G6
D601518,O75175
D601518,P13716
D601518,P16422
D601518,O15260
D601518,O96017
D601518,P41161
D601518,Q9NZC4
D601518,P11172
D601518,Q14435
D601518,O75363
D601518,Q9Y272
D601518,Q14118
D601518,P62807
D601518,Q8NCH0
D601518,P31249
D601518,Q9UKQ2
D601518,Q9NSI5
D601518,P19525
D601518,Q8NBS9
D601518,Q16890
D601518,P04090
D601518,P22301
D601518,Q9H4M3
D601518,O00744
D601518,P19099
D601518,P14060
D601518,Q6K0P9
D601518,P34096
D601518,P10909
D601518,P14061
D601518,Q9NQS7
D601518,P50225
D601518,Q9Y5Y6
D601518,P05121
D601518,P01137
D601518,P07858
D601518,Q9Y2Q3
D601518,O43318
D601518,P15311
D601518,P27986
D601518,Q9BYX2
D601518,P22352
D601518,Q8NEB7
D601518,O43182
D601518,Q9NQU5
D601518,P11308
D601518,P04156
D601518,P17936
D601518,Q15311
D601518,P08684
D601518,Q07869
D601518,P42898
D601518,Q5SQI0
D601518,P14780
D601518,Q8NI08
D601518,O15551
D601518,Q96KA5
D601518,P23142
D601518,P81877
D601518,P41159
D601518,P63151
D601518,Q08345
D601518,P18440
D601518,P50548
D601518,Q96CJ1
D601518,Q15041
D601518,P09601
D601518,Q03135
D601518,Q03518
D601518,Q02750
D601518,O15121
D601518,Q92911
D601518,O60763
D601518,O00459
D601518,P01011
D601518,Q06520
D601518,Q8WWH4
D601518,P37058
D601518,Q687X5
D601518,P20062
D601518,Q9BUD6
D601518,Q9Y2C9
D601518,Q9UBT6
D601518,P17482
D601518,O75342
D601518,P18074
D601518,Q92615
D601518,Q7Z4W1
D601518,Q96HN2
D601518,P35680
D601518,P11473
D601518,O95484
D601518,Q9Y653
D601518,P47974
D601518,O00238
D601518,Q9H173
D601518,Q02742
D601518,Q92633
D601518,Q9UPY6
D601518,P55211
D601518,P51636
D601518,P27797
D601518,P28289
D601518,O95319
D601518,P40692
D601518,O95365
D601518,P22694
D601518,Q9Y3E5
D601518,P09211
D601518,P21926
D601518,Q6P499
D601518,Q9Y446
D601518,P09874
D601518,P58335
D601518,P55771
D601518,Q96CS3
D601518,Q9UBB5
D601518,P24390
D601518,P56705
D601518,P60568
D601518,P12272
D601518,P27695
D601518,O95967
D601518,P16949
D601518,O75795
D601518,P0DMV9
D601518,O94788
D601518,Q9BYJ1
D601518,P04798
D601518,P01282
D601518,P02511
D601518,P42330
D601518,Q16236
D601518,P22455
D601518,Q16651
D601518,O60513
D601518,Q8NFM7
D601518,P54855
D601518,Q08209
D601518,Q9BZK7
D601518,P11511
D601518,Q9NVW2
D601518,Q9P2W1
D601518,Q9UBK9
D601518,Q92597
D601518,Q15828
D601518,Q8IXB1
D601518,P60022
D601518,P09525
D601518,P61018
D601518,O14773
D601518,Q14451
D601518,O15392
D601518,Q9H3R1
D601518,P27169
D601518,Q9UBX5
D601518,Q8N4S7
D601518,P45452
D601518,Q14145
D601518,Q9P2W7
D601518,Q8TE67
D601518,P04083
D601518,Q92731
D601518,P20151
D601518,P15151
D601518,P39019
D601518,O75881
D601518,Q86VZ6
D601518,O15372
D601518,O14786
D601518,O95049
D601518,Q6BEB4
D601518,Q15910
D601518,Q68DV7
D601518,P48431
D601518,Q15011
D601518,Q9UIK5
D601518,O75956
D601518,Q92560
D601518,P40763
D601518,Q13618
D601518,P54821
D601518,P15559
D601518,Q9BS26
D601518,Q9P016
D601518,P14923
D601518,Q00987
D601518,P14174
D601518,P07237
D601518,O75509
D601518,O76080
D601518,P10912
D601518,Q8NEV9
D601518,P07339
D601518,Q8NAC3
D601518,P05164
D601518,P18146
D601518,P32119
D601518,P09488
D601518,Q9BZX2
D601518,P17302
D601518,P18510
D601518,P04278
D601518,P00749
D601518,Q9BQE4
D601518,Q9NR56
D601518,P07195
D601518,P08138
D601518,Q9UJM8
D601518,Q16762
D601518,O00220
D601518,P33260
D601518,P29590
D601518,O43791
D601518,Q96HW7
D601518,Q13077
D601518,P05231
D601518,P08559
D601518,P26012
D601518,Q9ULV3
D601518,P82970
D601518,P55916
D601518,P15692
D601518,Q16665
D601518,Q9UJ70
D601518,Q14790
D601518,P10415
D601518,P18405
D601518,Q13007
D601518,P07288
D601518,Q9UIS9
D601518,O15527
D601518,O14965
D601518,P08651
D601608,Q8TAF3
D601608,Q9NZK5
D601608,Q9UQ90
D601608,Q8IYU2
D601608,Q15041
D601608,P30793
D601608,P11166
D601608,Q9NSK0
D601626,P60903
D601626,P07305
D601626,O95365
